step,portfolio_return,top_market_token_id,top_market_domain,top_market_question,top_market_contribution,top_domain,top_domain_contribution,top_market_token_id_signed,top_market_domain_signed,top_market_signed_contribution,top_domain_signed,top_domain_signed_contribution
15,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
16,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
17,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
18,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
19,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
20,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
21,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
22,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
23,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
24,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
25,0.004740563402778337,46551195771960533081545368009925141952498658652959429196677286705276507790996,best-of-2025,Will Lucas rank #1 among boy names on the SSA’s official list for 2025?,0.004740563402778337,best-of-2025,0.004740563402778337,46551195771960533081545368009925141952498658652959429196677286705276507790996,best-of-2025,0.004740563402778337,best-of-2025,0.004740563402778337
26,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
27,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
28,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
29,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
30,-0.003526902674540789,108548893345759572446077602443398325305734327289834850738242401844282632332811,epstein,Epstein client list released by June 30?,-0.003526902674540789,epstein,-0.003526902674540789,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
31,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
32,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
33,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
34,0.0016503776056767902,94195159380649683762164114216519545499991614727769221572315275622082093227806,felix,Felix Protocol FDV above $300M one day after launch?,0.0016503776056767902,felix,0.0016503776056767902,94195159380649683762164114216519545499991614727769221572315275622082093227806,felix,0.0016503776056767902,felix,0.0016503776056767902
35,3.566249404185472e-05,51273396751548994017117054764897754414228591289652072971120018616721173971444,democratic-primary,Will Graham Platner be the Democratic nominee for Senate in Maine?,3.566249404185472e-05,democratic-primary,3.566249404185472e-05,51273396751548994017117054764897754414228591289652072971120018616721173971444,democratic-primary,3.566249404185472e-05,democratic-primary,3.566249404185472e-05
36,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
37,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
38,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
39,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
40,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
41,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
42,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
43,-0.003903579682399803,46551195771960533081545368009925141952498658652959429196677286705276507790996,best-of-2025,Will Lucas rank #1 among boy names on the SSA’s official list for 2025?,-0.003903579682399803,best-of-2025,-0.003903579682399803,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
44,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
45,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
46,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
47,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
48,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
49,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
50,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
51,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
52,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
53,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
54,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
55,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
56,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
57,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
58,-0.00047728955642811907,5161623255678193352839985156330393796378434470119114669671615782853260939535,foreign-policy,Will Trump acquire Greenland before 2027?,-0.00047728955642811907,foreign-policy,-0.00047728955642811907,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
59,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
60,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
61,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
62,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
63,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
64,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
65,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
66,0.0009521219073510116,5161623255678193352839985156330393796378434470119114669671615782853260939535,foreign-policy,Will Trump acquire Greenland before 2027?,0.0009521219073510116,foreign-policy,0.0009521219073510116,5161623255678193352839985156330393796378434470119114669671615782853260939535,foreign-policy,0.0009521219073510116,foreign-policy,0.0009521219073510116
67,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
68,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
69,0.0014741902210908672,35772478648141184011258957985537045975935629101627518451751092071575033100741,congress,Will the number of Democratic House members who retire in 2026 be between 24 and 27 inclusive?,0.0014741902210908672,congress,0.0014741902210908672,35772478648141184011258957985537045975935629101627518451751092071575033100741,congress,0.0014741902210908672,congress,0.0014741902210908672
70,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
71,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
72,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
73,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
74,0.0004301662319005921,11966409881281293602137861492007400834690026843003461391578987664208256196909,claude-5,"Will Claude 5 be released by April 30, 2026?",0.00036867090800375376,claude-5,0.00036867090800375376,11966409881281293602137861492007400834690026843003461391578987664208256196909,claude-5,0.00036867090800375376,claude-5,0.00036867090800375376
75,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
76,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
77,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
78,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
79,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
80,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
81,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
82,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
83,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
84,-0.003825215580266801,35772478648141184011258957985537045975935629101627518451751092071575033100741,congress,Will the number of Democratic House members who retire in 2026 be between 24 and 27 inclusive?,-0.003825215580266801,congress,-0.003825215580266801,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
85,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
86,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
87,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
88,-9.067193553656755e-05,94195159380649683762164114216519545499991614727769221572315275622082093227806,felix,Felix Protocol FDV above $300M one day after launch?,-0.00012390045898935762,felix,-0.00012390045898935762,51273396751548994017117054764897754414228591289652072971120018616721173971444,democratic-primary,3.322852345279006e-05,democratic-primary,3.322852345279006e-05
89,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
90,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
91,-3.070040501894579e-05,63586620628756015058616403521099137018911742768824051367331188904593189743777,economic-policy,Will there be no change in Fed interest rates after the April 2026 meeting?,-3.070040501894579e-05,economic-policy,-3.070040501894579e-05,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
92,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
93,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
94,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
95,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
96,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
97,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
98,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
99,0.00046909286226453083,92206458231325096769152348269441704588222763710040504959674288895806154976594,airdrops,MegaETH market cap (FDV) >$3B one day after launch?,0.00046909286226453083,airdrops,0.00046909286226453083,92206458231325096769152348269441704588222763710040504959674288895806154976594,airdrops,0.00046909286226453083,airdrops,0.00046909286226453083
100,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
101,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
102,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
103,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
104,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
105,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
106,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
107,-0.00017840281443682107,94195159380649683762164114216519545499991614727769221572315275622082093227806,felix,Felix Protocol FDV above $300M one day after launch?,-0.00017840281443682107,felix,-0.00017840281443682107,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
108,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,0.0,acquisitions,0.0
