domain,total_contribution,contribution_share_of_total_return
felix,0.07084900509882781,0.8680452739304617
colombia-election,0.05392374096283123,0.660676158121669
economic-policy,-0.016686057684280678,-0.20443834734399888
congress,-0.014602434691810634,-0.17890970246403862
fifa-world-cup,0.013469055665911289,0.16502349043281117
2026-fifa-world-cup,-0.011512309668446859,-0.1410493483398907
california-midterm,-0.010404907906087404,-0.1274814109381234
epstein,-0.009096674928921585,-0.11145288024182494
crypto-prices,-0.008676212232279424,-0.10630135191513679
airdrops,0.007718499494033209,0.09456741133180764
colorado-midterm,0.006546636602895792,0.08020969321103263
bernie-sanders,-0.005187837724436545,-0.06356162676291145
claude-5,-0.0045322735830005245,-0.05552962470532387
acquisitions,-0.0037417927835089694,-0.04584461753868449
abraham-accords,0.003666863292411713,0.0449265779623452
extended,0.0035224049578791703,0.043156667793586685
foreign-policy,-0.003254317402531143,-0.03987204671676543
fdv,0.0027876045383579493,0.03415385920710352
base,0.0027768559198828404,0.03402216663844169
best-of-2025,0.0024719410988615284,0.03028633620624721
elon-musk,0.0021002576084670514,0.025732452961382254
brazil,0.0019749348619061916,0.024196992897879695
champions-league,-0.0011852298511279681,-0.01452149073029057
2025-predictions,-0.0010951357792928522,-0.013417654012237379
commodities,-0.0010043137150589966,-0.012304897897781913
comex-gold-futures,0.0009930680063236028,0.01216711495635401
democratic-primary,0.0008460211501320918,0.010365490100996863
celebrities,0.0008348867760065645,0.010229071236337357
connecticut-primary,-0.0008297169580850647,-0.010165730389030058
comex-silver-futures,-0.000746189905103351,-0.009142353088459955
bitcoin,0.000706052746656197,0.008650590774360409
business,-0.0004982326730677193,-0.00610436966010875
anthropic,-0.0003784247028803138,-0.004636476890756373
big-tech,-0.0001955301985714971,-0.0023956449994451783
bundesliga,5.8784211905256185e-05,0.0007202268719921468
basketball,0.0,0.0
delaware-midterm,0.0,0.0
awards,0.0,0.0
2026-nfl-draft,0.0,0.0
climate-science,0.0,0.0
