label,databricks::82712470265251700739331694672360544122893066934757473974734613171971970115364,economic-policy::54073086346734626735797775941991553522163760164405051969883391401961188364109,awards::45014676111572901552217363692090679327003594688155466306257909550735876308571,anthropic::14018274637090307878372326472471535510234764986484318979992031495866993899114,california-midterm::89694314427486889897766629507723742460669068230376416068996390119126818537632,bundesliga::5254288171817620305899304387173316577587455481755582876905938498730493405588,2025-predictions::108547978327958467449318042977006580876058560639743186491243488736783119648127,celebrities::68207341820749052475650610432894562714266620914604033880285153252182288802957,claude-5::63907313656443890447578607530571289622813903996374626191028175281541399992719,gemini-3::111646250931838932302421100465311863857465734768037379595335905351441550302588,colombia-election::75712298340810272859765060308006832993211601931382911468417184675550881103879,extended::30168634295384984099987626703440157654602987915064535215384295190163901851184,congress::15394416147421266264002744586901575755411758481406494583013250092373628427765,fdv::42645635688384173938505005153732536262139883933750646945028210271328873690888,felix::56940108685601594440972125972550948538859641414755179784371446688257727053902,epstein::108548893345759572446077602443398325305734327289834850738242401844282632332811,german-elections::67784084156063245454459357229936847964117127235086701895468125487885758601780,bitcoin::115563279943088574368475763566308524191598627607680105838058505260056381768939,airdrops::57301498276970257025109591078431189727442302532145853906375186182281603517458,commodities::4655209727295513535859117642120184432334179761721646415109648555849060899062
databricks::82712470265251700739331694672360544122893066934757473974734613171971970115364,0.9999999999999999,-0.0001515866021468136,-0.00010912580703992753,-0.0001274687365571255,-0.00010615930414091769,-0.00010592717476951641,-8.70394971211988e-05,-0.004987886919717751,0.00028429652049994264,0.00011025288313469065,0.00011025288313469207,-6.226470012247299e-05,-5.496123285086996e-05,9.702242123989009e-05,0.0024978569112495135,7.805480861490498e-05,-4.951615865423818e-05,-2.9098607461107242e-05,-2.7698309103133444e-05,0.0001194080630349752
economic-policy::54073086346734626735797775941991553522163760164405051969883391401961188364109,-0.0001515866021468136,1.0,-0.0001232537003310851,-0.00014397138388580737,-0.0001199031412904349,-0.000119640959458687,-9.830800235199441e-05,-0.00021236423199009336,0.00032110276288775343,0.00012452669251318289,0.00012452669251318126,-7.032575426718811e-05,-6.207674891373949e-05,0.00010958335848566127,0.002805648600039328,8.816011767867611e-05,-5.5926732143971764e-05,-3.2865837525955094e-05,-3.12842505588695e-05,0.00013486714112492004
awards::45014676111572901552217363692090679327003594688155466306257909550735876308571,-0.00010912580703992754,-0.0001232537003310851,0.9999999999999999,-0.0001036436811346792,-8.631717364618122e-05,-8.612843134590238e-05,-7.077103083789917e-05,-0.00015287906631674726,0.00023115893915828586,8.964562584068468e-05,8.964562584068376e-05,-5.062686663213776e-05,-4.468848320161721e-05,7.888805648745883e-05,-3.119950793570051e-05,6.346566157014824e-05,-4.026114243529357e-05,-2.3659815532965014e-05,-2.252124555551731e-05,9.708962012468182e-05
anthropic::14018274637090307878372326472471535510234764986484318979992031495866993899114,-0.0001274687365571255,-0.00014397138388580737,-0.0001036436811346792,1.0,-0.00010082620570068278,-0.00010060573775451956,-8.266691564949166e-05,-0.00017857647020469582,0.0002700143872257339,0.00010471413658924966,0.00010471413658925056,-5.9136723938115005e-05,-5.220015912712773e-05,9.21483301032982e-05,-3.644382539424866e-05,7.413358869505671e-05,-4.7028627762605426e-05,-2.76367879878203e-05,-2.630683606861576e-05,0.00011340939000410233
california-midterm::89694314427486889897766629507723742460669068230376416068996390119126818537632,-0.00010615930414091768,-0.00011990314129043491,-8.631717364618122e-05,-0.00010082620570068279,0.9999999999999999,-8.378709478945092e-05,-0.013729475342912672,-0.00014872316400795041,0.00022487505744648033,8.720867700017337e-05,8.72086770001753e-05,-4.925061338178972e-05,-4.34736604336077e-05,7.674354406993856e-05,-3.0351372803877227e-05,6.17403953463217e-05,-3.916667359249405e-05,-2.3016641262169147e-05,-2.190902245227461e-05,0.006312061919399385
bundesliga::5254288171817620305899304387173316577587455481755582876905938498730493405588,-0.00010592717476951641,-0.00011964095945868702,-8.612843134590238e-05,-0.00010060573775451957,-8.378709478945092e-05,1.0,-0.004243676434918309,-0.00014839796392442203,0.00022438334260197894,8.701798532659351e-05,8.701798532659451e-05,-4.914292132393845e-05,-4.3378600339232194e-05,7.657573559768523e-05,-3.028500608127132e-05,6.160539296214277e-05,-3.908103121386545e-05,-2.2966312762835067e-05,-2.1861115887218434e-05,0.06932990381674
2025-predictions::108547978327958467449318042977006580876058560639743186491243488736783119648127,-8.703949712119881e-05,-9.830800235199441e-05,-7.077103083789917e-05,-8.266691564949166e-05,-0.013729475342912672,-0.004243676434918309,0.9999999999999999,-0.00012193739880154525,0.000184373965839701,7.150197010167287e-05,7.15019701016732e-05,-4.038033836366263e-05,-3.5643842739734575e-05,6.292165851311408e-05,-2.4884942937085544e-05,5.0620649847823936e-05,-3.211256517728546e-05,-1.8871232221139392e-05,-1.7963100946217948e-05,-0.014376948142943559
celebrities::68207341820749052475650610432894562714266620914604033880285153252182288802957,-0.004987886919717752,-0.00021236423199009338,-0.00015287906631674726,-0.0001785764702046958,-0.00014872316400795041,-0.000148397963924422,-0.00012193739880154524,1.0,-0.007828888062800085,0.00015445803600052773,0.0001544580360005287,-8.722931337163641e-05,-7.699756995871656e-05,0.00013592290928503617,0.06869142223459515,0.0001093503597935259,-6.936932984039723e-05,-4.076549865188635e-05,-3.8803760073822736e-05,0.00016728392378157354
claude-5::63907313656443890447578607530571289622813903996374626191028175281541399992719,0.0002842965204999426,0.00032110276288775343,0.0002311589391582859,0.0002700143872257339,0.0002248750574464803,0.00022438334260197894,0.000184373965839701,-0.007828888062800085,0.9999999999999999,-0.00023354640112974585,-0.00023354640112974596,0.00013189402596635325,0.00011642324235906349,-0.00020552058744615823,-0.007551393166224642,-0.00016534188607669165,0.00010488905435104273,6.16389781129483e-05,5.867275507448007e-05,-0.00025293962928498576
gemini-3::111646250931838932302421100465311863857465734768037379595335905351441550302588,0.00011025288313469065,0.00012452669251318289,8.964562584068467e-05,0.00010471413658924965,8.720867700017338e-05,8.701798532659351e-05,7.150197010167287e-05,0.00015445803600052773,-0.00023354640112974588,1.0,-9.057150620414929e-05,5.114975239744937e-05,4.515003599551564e-05,-7.970283023380522e-05,3.1521743532535676e-05,-6.412114932261987e-05,4.0676968649266234e-05,2.3904179475988064e-05,2.2753850089485655e-05,-9.809238375003289e-05
