domain,total_contribution,contribution_share_of_total_return
best-of-2025,0.1694066334222923,0.48253588883038456
felix,0.12548359141067453,0.3574260056513867
basketball,0.07818455927958509,0.22269999139137597
colombia-election,0.04988341637266178,0.1420873443442803
claude-5,-0.04737244588655426,-0.13493512514917694
airdrops,0.027973321714958994,0.07967888496797085
economic-policy,-0.018186012364569164,-0.05180082658713048
california-midterm,-0.012662529833614829,-0.03606780304094372
comex-silver-futures,0.009700143307342247,0.027629775635306178
bernie-sanders,-0.009570966322461674,-0.0272618294105536
2026-fifa-world-cup,-0.00923215974122286,-0.026296776676094726
champions-league,-0.007374952231414722,-0.0210067283563587
connecticut-primary,-0.005661346769457933,-0.01612571444335149
extended,0.0053974531835774865,0.015374043015574315
bitcoin,-0.004363405461251418,-0.012428673482482671
foreign-policy,-0.004297802069307745,-0.01224180954213792
comex-gold-futures,-0.004288486866261326,-0.012215276225874948
epstein,-0.004211352224738208,-0.011995566808037752
acquisitions,-0.004186503926225104,-0.011924789202894897
colorado-midterm,0.004177813349506744,0.011900035065016547
brazil,0.003917901264680154,0.011159704498639487
climate-science,0.003911386606886851,0.011141148222977711
abraham-accords,0.003456255478611873,0.00984475799858144
base,0.00281441199193777,0.00801653845914795
2025-predictions,-0.002684859603876338,-0.007647522940331226
business,-0.0026439881003508824,-0.007531105023965888
crypto-prices,-0.002643266444899194,-0.007529049468951453
elon-musk,0.002597895279523166,0.007399814767985422
big-tech,0.0021069437819221486,0.006001394219263618
commodities,0.0012265669088104493,0.0034937389498639546
congress,-0.0011421384675631499,-0.003253253957530304
celebrities,0.0010106473030605672,0.00287871605039634
fdv,0.0008466464700508437,0.002411577980731726
anthropic,-0.0003438779303086211,-0.0009794979063009242
democratic-primary,-0.00030877489439098775,-0.000879510826131895
fifa-world-cup,9.91968686526562e-05,0.000282551209580921
bundesliga,5.5802709354406234e-05,0.00015894778978547787
delaware-midterm,0.0,0.0
awards,0.0,0.0
2026-nfl-draft,0.0,0.0
