category,baseline_exposure,constrained_exposure,delta_exposure
extended,0.025,0.02539144642651081,0.00039144642651080946
brazil,0.025,0.02528006210923195,0.00028006210923194746
bitcoin,0.025,0.02520832046866417,0.00020832046866416792
base,0.025,0.025204643607139587,0.00020464360713958601
fifa-world-cup,0.025,0.02518380433320999,0.00018380433320999007
champions-league,0.025,0.025183632969856262,0.00018363296985626082
comex-gold-futures,0.025,0.02517256699502468,0.0001725669950246797
airdrops,0.025,0.025160079821944237,0.00016007982194423537
bundesliga,0.025,0.02515098638832569,0.00015098638832568984
comex-silver-futures,0.025,0.025149060413241386,0.00014906041324138503
connecticut-primary,0.025,0.025148918852210045,0.00014891885221004347
abraham-accords,0.025,0.025141306221485138,0.00014130622148513655
delaware-midterm,0.025,0.025139478966593742,0.00013947896659374098
formula1,0.025,0.025139465928077698,0.00013946592807769637
2026-nfl-draft,0.025,0.025139426812529564,0.00013942681252956252
awards,0.025,0.025139426812529564,0.00013942681252956252
basketball,0.025,0.02513933926820755,0.00013933926820754866
crypto-prices,0.025,0.025139132514595985,0.00013913251459598402
climate-science,0.025,0.02513781748712063,0.00013781748712062697
anthropic,0.025,0.025131933391094208,0.00013193339109420638
big-tech,0.025,0.025120262056589127,0.0001202620565891252
foreign-policy,0.025,0.02510884217917919,0.0001088421791791902
democratic-primary,0.025,0.02508326806128025,8.326806128024916e-05
2025-predictions,0.025,0.025071844458580017,7.18444585800157e-05
fdv,0.025,0.025063110515475273,6.311051547527174e-05
commodities,0.025,0.025051172822713852,5.117282271385054e-05
congress,0.025,0.02498663403093815,-1.336596906185289e-05
felix,0.025,0.024963155388832092,-3.68446111679091e-05
epstein,0.025,0.024958478286862373,-4.1521713137628036e-05
colorado-midterm,0.025,0.02491423301398754,-8.576698601246019e-05
2026-fifa-world-cup,0.025,0.024846408516168594,-0.00015359148383140703
california-midterm,0.025,0.02478477545082569,-0.00021522454917431016
economic-policy,0.025,0.02476048842072487,-0.0002395115792751326
acquisitions,0.025,0.02474786713719368,-0.0002521328628063216
celebrities,0.025,0.024740763008594513,-0.00025923699140548845
colombia-election,0.025,0.024686764925718307,-0.0003132350742816939
business,0.025,0.024667037650942802,-0.00033296234905719896
bernie-sanders,0.025,0.02443074993789196,-0.0005692500621080412
best-of-2025,0.025,0.02432209625840187,-0.0006779037415981307
claude-5,0.025,0.02421106956899166,-0.0007889304310083403
