category,baseline_exposure,constrained_exposure,delta_exposure
felix,0.025,0.026298437267541885,0.001298437267541884
claude-5,0.025,0.02555001899600029,0.0005500189960002885
best-of-2025,0.025,0.02554621547460556,0.0005462154746055589
airdrops,0.025,0.025342809036374092,0.0003428090363740907
comex-gold-futures,0.025,0.025342773646116257,0.0003427736461162553
climate-science,0.025,0.025315934792160988,0.00031593479216098647
bernie-sanders,0.025,0.02525808848440647,0.00025808848440646986
colorado-midterm,0.025,0.02521056868135929,0.0002105686813592897
colombia-election,0.025,0.02518235519528389,0.00018235519528388838
brazil,0.025,0.025165105238556862,0.0001651052385568605
extended,0.025,0.025109922513365746,0.00010992251336574416
abraham-accords,0.025,0.025068089365959167,6.808936595916609e-05
2025-predictions,0.025,0.025067895650863647,6.789565086364607e-05
big-tech,0.025,0.025002436712384224,2.43671238422255e-06
elon-musk,0.025,0.024986889213323593,-1.3110786676408248e-05
fifa-world-cup,0.025,0.024941779673099518,-5.8220326900483566e-05
bitcoin,0.025,0.024929698556661606,-7.030144333839555e-05
base,0.025,0.024928772822022438,-7.122717797756334e-05
champions-league,0.025,0.024917397648096085,-8.260235190391679e-05
democratic-primary,0.025,0.0249041598290205,-9.58401709795012e-05
fdv,0.025,0.024893267080187798,-0.00010673291981220384
comex-silver-futures,0.025,0.02489209920167923,-0.00010790079832077165
commodities,0.025,0.024884408339858055,-0.00011559166014194627
connecticut-primary,0.025,0.024878520518541336,-0.00012147948145866533
bundesliga,0.025,0.024872321635484695,-0.00012767836451530595
basketball,0.025,0.02486584708094597,-0.00013415291905403276
delaware-midterm,0.025,0.02486584335565567,-0.00013415664434433122
2026-nfl-draft,0.025,0.02486584149301052,-0.00013415850698948045
awards,0.025,0.02486584149301052,-0.00013415850698948045
anthropic,0.025,0.02485744282603264,-0.00014255717396736284
congress,0.025,0.02481054700911045,-0.00018945299088955064
business,0.025,0.024797461926937103,-0.00020253807306289812
epstein,0.025,0.024793319404125214,-0.00020668059587478776
foreign-policy,0.025,0.024788154289126396,-0.0002118457108736052
crypto-prices,0.025,0.02468913234770298,-0.00031086765229702135
california-midterm,0.025,0.024680210277438164,-0.00031978972256183763
2026-fifa-world-cup,0.025,0.024679239839315414,-0.00032076016068458696
economic-policy,0.025,0.02466530352830887,-0.000334696471691133
celebrities,0.025,0.02465200424194336,-0.000347995758056642
acquisitions,0.025,0.024633800610899925,-0.00036619938910007616
