label,basketball::19063193541024384703688685779087142926481547676681055667364352656903314720497,economic-policy::9556122149160720922715284597610520228366807023831966638741974320131898296289,awards::47252200832793247423089215877857667425039333476763845614656878203768571431091,airdrops::57301498276970257025109591078431189727442302532145853906375186182281603517458,epstein::57692461228141098196519006129212454078633070644580607609751365664388305515775,colombia-election::36553834009124167357981460132800746681781045509640776189348736916365216865880,bitcoin::47113934605305582772590235372495078183833796521066344951188393486940857661087,claude-5::37486578038105453175288714027461169500971706842986129918617327827942330885334,congress::35772478648141184011258957985537045975935629101627518451751092071575033100741,foreign-policy::94559586571241563470235664821564670251180951772614764383113614156422396181162,fifa-world-cup::96570915933183650323624717300751327226821728969018565701035634346205052779472,colorado-midterm::94387913280398317052582281843978069916338462525042652614881277797162415545237,abraham-accords::70026524713009669538763377800911903794570186848119999786864842995489783143838,bernie-sanders::7096166888327966243811396544854606771946352128513885963401994819079689910004,commodities::108251591904413063139495882252154135107497878738832930637657538583440424739851,big-tech::101572915378052466010537773686792142702472736962773444087157973880663103257016,comex-gold-futures::2505045451674943447519228800725933725750838307553383437231238252001926532847,crypto-prices::17988517666865803556038348708000324994436319684963570400912948173818975836974,extended::30168634295384984099987626703440157654602987915064535215384295190163901851184,comex-silver-futures::107870429546933970357003646744953533078588414978993746450690176970570179686431
basketball::19063193541024384703688685779087142926481547676681055667364352656903314720497,1.0,-0.2491978834451481,-0.0001551470644251274,-0.00035376203953041484,0.0003024996819442069,-0.0001624811625412221,-0.0001867799187452433,9.133691097934173e-05,-0.0002448704847614415,0.0002487298495770751,0.00014035204510308153,-0.0001630112154820608,-0.0002748152633236315,0.00010726605266073156,0.00016025619958752192,0.00010129086081455472,0.000207843624017791,0.0003071015066190341,-0.0033272172334876467,-0.00018531536378565432
economic-policy::9556122149160720922715284597610520228366807023831966638741974320131898296289,-0.2491978834451481,1.0,0.0005167389150246219,0.0011782537630421297,-0.0010075173386125025,0.0005411661506751138,0.0006220965438078469,-0.00030421030817470685,0.0008155752678017787,-0.000828429420053404,-0.00046746204175235687,0.0005429315658479418,0.0009153105250701887,-0.0003572645339843409,-0.0005337556015492184,-0.00033736332500497993,-0.0006922521490670402,-0.001022844356873617,0.0006638594843060997,0.0006172186394555143
awards::47252200832793247423089215877857667425039333476763845614656878203768571431091,-0.0001551470644251274,0.0005167389150246219,1.0,-0.00041360241819821017,0.00035366881116581205,-0.00018996555376012313,-0.00021837454964485252,0.00010678694441596355,-0.0002862913860886268,0.0002908035791508619,0.00016409320042013568,-0.00019058526744787543,-0.000321301453427038,0.0001254105692910021,0.0001873642287019788,0.00011842464790707363,0.00024300127174455233,0.0003590490543828642,-0.00023303459463936194,-0.00021666225888105657
airdrops::57301498276970257025109591078431189727442302532145853906375186182281603517458,-0.0003537620395304149,0.0011782537630421297,-0.00041360241819821017,1.0,0.0008064258284222706,-0.0004331541946198881,-0.0004979316002538986,-0.0628139544682144,-0.0006527936897676822,0.0006630822674237742,0.00037416077106450755,-0.00043456724860784353,-0.0007326226757148109,0.0002859577068727992,0.00042722272526558093,0.00027002860240708733,0.0005540847699527235,0.0008186937100008649,-0.0005313590288429199,-0.000494027282275903
epstein::57692461228141098196519006129212454078633070644580607609751365664388305515775,0.0003024996819442069,-0.0010075173386125025,0.000353668811165812,0.0008064258284222706,1.0,0.0003703874114906321,0.0004257781612371896,-0.00020820901021437746,0.0005581997542529826,-0.0005669974519165207,0.004181370151480575,0.0003715957050161167,0.0006264610151021933,-0.0002445206260494757,-0.0003653154495709172,-0.00023089974959554597,-0.00047379438139637204,-0.0007000598119960032,0.0004543617439466585,0.0004224396036346697
colombia-election::36553834009124167357981460132800746681781045509640776189348736916365216865880,-0.00016248116254122212,0.0005411661506751137,-0.00018996555376012313,-0.00043315419461988807,0.0003703874114906321,0.9999999999999999,-0.0002286975317720838,0.00011183496727586044,-0.00029982492681752227,0.0003045504198655597,0.0001718501994747049,-0.0001995945971192065,-0.00033648998691948915,0.00013133896647585274,0.00019622129371857155,0.00012402280724275232,0.0002544884060703849,0.00037602198908253835,-0.00024405058509888207,-0.00022690429775285907
bitcoin::47113934605305582772590235372495078183833796521066344951188393486940857661087,-0.0001867799187452433,0.0006220965438078469,-0.00021837454964485252,-0.0004979316002538985,0.0004257781612371896,-0.0002286975317720838,1.0,0.00012855967900502954,-0.00034466318798382874,0.0042368162994635685,0.0001975500777580646,-0.00022944359856150696,-0.00038681143975361084,-0.0032256980940924486,0.00022556582390001147,0.00014257018781165676,0.0002925466747283652,0.0004322553794471046,-0.00028054789700888115,-0.0002608374142231604
claude-5::37486578038105453175288714027461169500971706842986129918617327827942330885334,9.133691097934173e-05,-0.0003042103081747069,0.00010678694441596355,-0.0628139544682144,-0.00020820901021437746,0.00011183496727586044,0.00012855967900502954,1.0,0.00016854312353392466,-0.00017119950493292473,-9.660360700103556e-05,0.00011219980005011199,0.00018915396406589706,-7.383068474833787e-05,-0.00011030353646121474,-6.971799024188768e-05,-0.00014305772144280722,-0.00021137642300162281,0.00013719022080469363,0.000127551633189638
congress::35772478648141184011258957985537045975935629101627518451751092071575033100741,-0.00024487048476144144,0.0008155752678017787,-0.0002862913860886268,-0.0006527936897676824,0.0005581997542529824,-0.0002998249268175223,-0.00034466318798382874,0.00016854312353392466,1.0,0.0004589787996369195,0.00025899027920265943,-0.00030080302841226856,0.1430049065406607,0.0001979370155038748,0.00029571922407433526,0.00018691105144760323,0.0003835318407745501,0.0005666914570742762,-0.000367801313978873,-0.0003419606588000779
foreign-policy::94559586571241563470235664821564670251180951772614764383113614156422396181162,0.0002487298495770751,-0.000828429420053404,0.0002908035791508619,0.0006630822674237742,-0.0005669974519165206,0.0003045504198655597,0.0042368162994635685,-0.0001711995049329247,0.0004589787996369195,1.0,-0.0002630721838557076,0.0003055439371641782,0.011071167723829517,-0.00020105666936534591,-0.00030038000779356846,-0.0001898569268409229,-0.0003895766251976331,-0.0005756229911171712,0.00037359817206772893,0.0003473502464271307
