portfolio,compound_gain,growth_of_1,sortino,max_drawdown
Current-window fee-aware YES baseline,61.712522841940036,62.712522841940036,0.5993673699688938,-0.11647884373523776
Equity-signal PM portfolio,46.26057457009986,47.26057457009986,0.46862103418284234,-0.1927230497768726
Optimized PM sleeve net of fees,21.46146204439479,22.46146204439479,0.4290651809660538,-0.1927230497768727
