portfolio,compound_gain,growth_of_1,sortino,max_drawdown
Current-window fee-aware YES baseline,0.4885348832725376,1.4885348832725376,0.1196235439602637,-0.0735132795400063
Equity-signal PM portfolio,0.619667125111196,1.619667125111196,0.1193959257659975,-0.08081499570971662
Optimized PM sleeve net of fees,-0.15610816105912428,0.8438918389408757,-0.04243339009844873,-0.20592206529239376
