portfolio,steps,compound_gain,growth_of_1,log_wealth,mean_return,volatility,sortino,max_drawdown
Current-window fee-aware YES baseline,1771,30.502550521930296,31.502550521930296,3.4500685115039462,0.0034780338349245155,0.08983486422720192,0.7252629037403083,-0.1672924007093075
Equity-signal PM portfolio,1771,12.347092830018653,13.347092830018653,2.591298595590224,0.0026929375383378954,0.08607388462758607,0.48025401664068906,-0.1200784478858764
Optimized PM sleeve net of fees,1771,6.749094646290953,7.749094646290953,2.04757601670786,0.0025216048285164857,0.09300940211292433,0.4706553036862483,-0.19399085538414973
